,Customer ID,Loan Sanction Amount (USD)
0,C-26247,87405.48
1,C-35067,58055.906
2,C-34590,7746.969
3,C-16668,60209.797
4,C-12196,61603.715
5,C-2600,0.0
6,C-9047,92250.44
7,C-2206,87830.18
8,C-25607,2916.588
9,C-11606,21696.05
10,C-3624,86156.195
11,C-43027,31100.861
12,C-15190,147877.55
13,C-25816,20206.496
14,C-26370,41372.73
15,C-1281,211912.33
16,C-29433,11397.02
17,C-36256,51859.59
18,C-34217,39429.125
19,C-39950,60407.22
20,C-6756,23653.035
21,C-26652,49342.113
22,C-3991,72115.85
23,C-40312,38822.938
24,C-24580,156598.08
25,C-4949,94801.64
26,C-18783,91155.52
27,C-39205,71126.43
28,C-23784,0.0
29,C-39508,100577.87
30,C-19062,111440.1
31,C-48140,35030.688
32,C-11314,55109.16
33,C-766,63748.902
34,C-39319,13804.907
35,C-15299,61609.254
36,C-10298,36753.85
37,C-25573,52965.43
38,C-18750,22161.635
39,C-19298,41318.37
40,C-11497,68261.695
41,C-42250,23773.152
42,C-17501,51818.824
43,C-24290,47196.266
44,C-8590,92789.945
45,C-8038,76250.67
46,C-25261,0.0
47,C-32634,18694.58
48,C-15073,45946.234
49,C-44174,21634.975
50,C-31916,66376.72
51,C-30620,22061.42
52,C-12561,1800.5231
53,C-40301,130002.086
54,C-14716,20089.807
55,C-27558,41844.84
56,C-32563,39381.914
57,C-31387,21772.375
58,C-45649,49720.656
59,C-22572,23224.047
60,C-48427,63448.17
61,C-24904,72161.18
62,C-27683,21930.562
63,C-43495,77348.266
64,C-25735,26183.7
65,C-21375,82224.96
66,C-41309,72574.914
67,C-7767,26614.03
68,C-11841,1818.2191
69,C-5763,99758.37
70,C-8389,38717.926
71,C-16692,44457.676
72,C-33430,137768.31
73,C-2953,256152.92
74,C-11912,20075.959
75,C-6072,68571.39
76,C-6321,46564.39
77,C-26772,55784.42
78,C-24747,44649.023
79,C-20883,124181.96
80,C-11751,57048.383
81,C-24776,120545.28
82,C-20642,23993.662
83,C-9613,1446.74
84,C-45334,61613.285
85,C-37941,64508.58
86,C-2908,37203.055
87,C-13784,22069.662
88,C-26710,57480.914
89,C-1892,54845.688
90,C-49928,82370.26
91,C-23082,99554.27
92,C-27939,46472.215
93,C-41801,3809.4863
94,C-19700,11793.609
95,C-43113,38392.19
96,C-27336,90686.055
97,C-36772,38983.38
98,C-3197,9916.066
99,C-14674,81489.43
100,C-5092,25103.777
101,C-41664,37370.812
102,C-85,34093.14
103,C-48382,44363.37
104,C-35744,89929.11
105,C-32776,1655.0242
106,C-49131,26654.22
107,C-29703,32211.193
108,C-14880,35303.66
109,C-36170,2720.0881
110,C-41645,24819.55
111,C-4784,42865.43
112,C-38418,69351.96
113,C-13222,82977.09
114,C-32852,25764.37
115,C-21795,28160.676
116,C-121,41081.594
117,C-39952,33890.703
118,C-45166,47475.42
119,C-32641,49088.45
120,C-27678,22506.574
121,C-10704,5235.2085
122,C-33461,25892.418
123,C-22001,120552.87
124,C-30170,44317.184
125,C-23960,60705.855
126,C-16139,20170.107
127,C-27022,13590.627
128,C-19074,22367.4
129,C-49284,22159.006
130,C-8598,45798.164
131,C-14962,29783.064
132,C-35254,0.0
133,C-30635,11770.131
134,C-6981,11247.744
135,C-5924,37198.34
136,C-9590,40332.58
137,C-23842,62232.26
138,C-45972,146329.83
139,C-39623,80606.164
140,C-49153,2594.4102
141,C-34958,59239.83
142,C-36476,58991.996
143,C-28630,1598.8284
144,C-12012,70622.38
145,C-37986,73607.016
146,C-11513,62350.598
147,C-48999,78994.23
148,C-7194,57190.29
149,C-14162,56573.066
150,C-6137,19249.463
151,C-7348,719.34515
152,C-25756,871.17096
153,C-40915,101852.46
154,C-28646,27892.23
155,C-31130,43638.746
156,C-8532,16479.844
157,C-24097,29889.324
158,C-1855,21325.963
159,C-35375,36696.555
160,C-3997,176599.48
161,C-42188,49740.242
162,C-33694,15142.252
163,C-1613,28391.078
164,C-9405,89987.305
165,C-5964,30231.387
166,C-20231,29956.207
167,C-23969,17865.473
168,C-36011,11264.132
169,C-23079,122680.46
170,C-44925,22853.594
171,C-9000,100083.82
172,C-49513,27878.123
173,C-49824,63915.547
174,C-17542,71294.78
175,C-39446,43058.355
176,C-24862,26447.652
177,C-30025,39214.004
178,C-20039,23716.283
179,C-34113,92150.31
180,C-19871,48685.938
181,C-7017,22040.76
182,C-16017,70148.72
183,C-1475,85971.59
184,C-35040,61262.227
185,C-37318,23249.0
186,C-4757,76597.76
187,C-26696,43312.98
188,C-2450,108639.36
189,C-38702,40971.68
190,C-31969,46051.715
191,C-34069,25404.172
192,C-23160,26700.354
193,C-30804,1721.9314
194,C-49195,64342.297
195,C-13029,45448.824
196,C-39590,168.88438
197,C-45950,26290.264
198,C-1907,180802.31
199,C-9729,27097.19
200,C-24353,45554.176
201,C-3768,125215.83
202,C-48652,163894.39
203,C-14858,18327.426
204,C-32326,27295.746
205,C-35385,354.8465
206,C-45900,62632.03
207,C-5823,35073.875
208,C-29879,40332.562
209,C-2015,40474.297
210,C-19823,62185.445
211,C-19528,64009.066
212,C-40682,93499.0
213,C-49354,22410.525
214,C-25744,116490.11
215,C-14328,60308.105
216,C-2727,80594.09
217,C-45497,24152.01
218,C-17894,228521.2
219,C-10903,23632.057
220,C-39413,59368.582
221,C-4926,30227.943
222,C-29376,406.22827
223,C-7440,35112.312
224,C-38279,41609.71
225,C-43246,49845.33
226,C-33701,2393.8958
227,C-1603,105845.4
228,C-21756,556.6174
229,C-20553,0.0
230,C-40318,0.0
231,C-23274,32628.729
232,C-3521,31409.303
233,C-19742,43068.55
234,C-42176,28826.818
235,C-33938,116090.164
236,C-20363,100899.81
237,C-1614,127597.555
238,C-22568,2585.8323
239,C-24796,40173.67
240,C-25092,51929.19
241,C-40256,40708.645
242,C-27504,49511.53
243,C-25753,74152.39
244,C-27194,47992.09
245,C-17798,8988.66
246,C-11864,34343.39
247,C-722,29940.645
248,C-8111,132685.45
249,C-25051,2590.1309
250,C-42216,42471.812
251,C-20767,495.32156
252,C-22334,53584.004
253,C-23551,41896.258
254,C-48437,19077.793
255,C-21452,53150.87
256,C-16307,48007.332
257,C-29324,37554.58
258,C-4513,0.0
259,C-32774,23763.193
260,C-15695,24203.96
261,C-48811,119360.65
262,C-24101,64387.25
263,C-17567,33675.074
264,C-3203,35271.348
265,C-27870,62158.594
266,C-34250,0.0
267,C-6052,41816.0
268,C-33730,72045.984
269,C-33735,46985.066
