,Customer ID,Loan Sanction Amount (USD)
0,C-26247,36999.425
1,C-35067,36999.425
2,C-34590,36999.425
3,C-16668,36999.425
4,C-12196,36999.425
5,C-2600,36999.425
6,C-9047,36999.425
7,C-2206,36999.425
8,C-25607,36999.425
9,C-11606,36999.425
10,C-3624,36999.425
11,C-43027,36999.425
12,C-15190,36999.425
13,C-25816,36999.425
14,C-26370,36999.425
15,C-1281,36999.425
16,C-29433,36999.425
17,C-36256,36999.425
18,C-34217,36999.425
19,C-39950,36999.425
20,C-6756,36999.425
21,C-26652,36999.425
22,C-3991,36999.425
23,C-40312,36999.425
24,C-24580,36999.425
25,C-4949,36999.425
26,C-18783,36999.425
27,C-39205,36999.425
28,C-23784,36999.425
29,C-39508,36999.425
30,C-19062,36999.425
31,C-48140,36999.425
32,C-11314,36999.425
33,C-766,36999.425
34,C-39319,36999.425
35,C-15299,36999.425
36,C-10298,36999.425
37,C-25573,36999.425
38,C-18750,36999.425
39,C-19298,36999.425
40,C-11497,36999.425
41,C-42250,36999.425
42,C-17501,36999.425
43,C-24290,36999.425
44,C-8590,36999.425
45,C-8038,36999.425
46,C-25261,36999.425
47,C-32634,36999.425
48,C-15073,36999.425
49,C-44174,36999.425
50,C-31916,36999.425
51,C-30620,36999.425
52,C-12561,36999.425
53,C-40301,36999.425
54,C-14716,36999.425
55,C-27558,36999.425
56,C-32563,36999.425
57,C-31387,36999.425
58,C-45649,36999.425
59,C-22572,36999.425
60,C-48427,36999.425
61,C-24904,36999.425
62,C-27683,36999.425
63,C-43495,36999.425
64,C-25735,36999.425
65,C-21375,36999.425
66,C-41309,36999.425
67,C-7767,36999.425
68,C-11841,36999.425
69,C-5763,36999.425
70,C-8389,36999.425
71,C-16692,36999.425
72,C-33430,36999.425
73,C-2953,36999.425
74,C-11912,36999.425
75,C-6072,36999.425
76,C-6321,36999.425
77,C-26772,36999.425
78,C-24747,36999.425
79,C-20883,36999.425
80,C-11751,36999.425
81,C-24776,36999.425
82,C-20642,36999.425
83,C-9613,36999.425
84,C-45334,36999.425
85,C-37941,36999.425
86,C-2908,36999.425
87,C-13784,36999.425
88,C-26710,36999.425
89,C-1892,36999.425
90,C-49928,36999.425
91,C-23082,36999.425
92,C-27939,36999.425
93,C-41801,36999.425
94,C-19700,36999.425
95,C-43113,36999.425
96,C-27336,36999.425
97,C-36772,36999.425
98,C-3197,36999.425
99,C-14674,36999.425
100,C-5092,36999.425
101,C-41664,36999.425
102,C-85,36999.425
103,C-48382,36999.425
104,C-35744,36999.425
105,C-32776,36999.425
106,C-49131,36999.425
107,C-29703,36999.425
108,C-14880,36999.425
109,C-36170,36999.425
110,C-41645,36999.425
111,C-4784,36999.425
112,C-38418,36999.425
113,C-13222,36999.425
114,C-32852,36999.425
115,C-21795,36999.425
116,C-121,36999.425
117,C-39952,36999.425
118,C-45166,36999.425
119,C-32641,36999.425
120,C-27678,36999.425
121,C-10704,36999.425
122,C-33461,36999.425
123,C-22001,36999.425
124,C-30170,36999.425
125,C-23960,36999.425
126,C-16139,36999.425
127,C-27022,36999.425
128,C-19074,36999.425
129,C-49284,36999.425
130,C-8598,36999.425
131,C-14962,36999.425
132,C-35254,36999.425
